Treatment,Exposure,Time ,Hormone,SD,SE
C,a,1,91.54230934,53.90892569,22.00822676
C,a,2,111.6029823,95.96992624,39.17955832
C,a,3,119.0125618,59.98792349,24.48996721
C,a,4,113.0077002,78.73908619,32.14509733
C,b,1,110.8800333,111.0704699,45.34432947
C,b,2,246.9028815,106.029601,43.28640335
C,b,3,107.5027506,62.69609103,25.59557198
C,b,4,91.96173736,102.6558372,41.90907005
C,a,1,107.2786323,,
C,a,2,291.5948197,,
C,a,3,186.4125785,,
C,a,4,194.4684623,,
C,b,1,277.0079085,,
C,b,2,369.1027704,,
C,b,3,177.7089532,,
C,b,4,286.0962992,,
C,a,1,195.5230823,,
C,a,2,251.8077412,,
C,a,3,211.815785,,
C,a,4,269.5586488,,
C,b,1,372.6689334,,
C,b,2,374.7530959,,
C,b,3,237.4550995,,
C,b,4,272.8597852,,
C,a,1,204.5377557,,
C,a,2,267.3226123,,
C,a,3,252.0947631,,
C,a,4,252.2984146,,
C,b,1,318.5163519,,
C,b,2,300.4129001,,
C,b,3,232.9508969,,
C,b,4,290.3367024,,
C,a,1,77.90114067,,
C,a,2,74.83313048,,
C,a,3,88.46781174,,
C,a,4,72.74447677,,
C,b,1,106.7166215,,
C,b,2,113.7570999,,
C,b,3,93.94768853,,
C,b,4,77.85031122,,
C,a,1,147.1360225,,
C,a,2,108.0037262,,
C,a,3,172.0910976,,
C,a,4,137.2708869,,
C,b,1,186.3434994,,
C,b,2,170.6228237,,
C,b,3,129.0463259,,
C,b,4,124.1507718,,
r,a,1,1.3,,
r,a,2,1.3,,
r,a,3,1.3,,
r,a,4,1.3,,
r,b,1,1.3,,
r,b,2,1.3,,
r,b,3,1.3,,
r,b,4,1.3,,
r,a,1,1.3,,
r,a,2,1.3,,
r,a,3,1.3,,
r,a,4,1.3,,
r,a,1,1.3,,
r,b,2,1.3,,
r,b,3,1.3,,
r,b,4,1.3,,
r,a,1,1.3,,
r,a,2,1.3,,
r,a,3,1.3,,
r,a,4,1.3,,
r,b,1,1.3,,
r,b,2,1.3,,
r,b,3,1.3,,
r,b,4,1.3,,
r,a,1,1.3,,
r,a,2,1.3,,
r,a,3,1.3,,
r,a,4,1.3,,
r,b,1,1.3,,
r,b,2,1.3,,
r,b,3,1.3,,
r,b,4,1.3,,
r,a,1,1.3,,
r,a,2,1.3,,
r,a,3,1.3,,
r,a,4,1.3,,
r,b,1,1.3,,
r,b,2,1.3,,
r,b,3,1.3,,
r,b,4,1.3,,
r,a,1,1.3,,
r,a,2,1.3,,
r,a,3,1.3,,
r,a,4,1.3,,
r,b,1,1.3,,
r,b,2,1.3,,
r,b,3,1.3,,
r,b,4,1.3,,
